text,label
"URGENT verify your account password immediately at http://secure-login.xyz",1
"Your account is suspended click this link to reset your password",1
"Immediate action required confirm your credentials to avoid closure",1
"Multiple failed authentication attempts from an unknown IP address",1
"Unauthorized login detected from a remote device",1
"Send your one time password to unlock your student account",1
"Click the attached invoice link and enter your banking password",1
"Security alert verify identity at a look alike university portal",1
"Password reset requested from an unfamiliar location",1
"Your payment failed update card details now",1
"Voice recording asks the employee to transfer funds urgently",1
"Official examination timetable is available on the university website",0
"Meeting scheduled for tomorrow at ten in the conference room",0
"Your support ticket has been received and is under review",0
"The weekly security report is attached for the operations team",0
"Students can view results through the known university portal",0
"System backup completed successfully with no errors",0
"The finance team approved the purchase order",0
"Welcome to the new employee orientation session",0
"Network maintenance is planned for Saturday evening",0
"Your library book is due next week",0
"The incident response meeting starts at two pm",0
"Daily monitoring completed with normal authentication activity",0
"The application health check is green",0
"Urgent payroll verification required before your account is locked",1
"Confirm your Microsoft password immediately using this external login page",1
"Your university account will be deleted today unless you verify now",1
"Click the secure document link and enter your email password",1
"Unusual sign in detected please confirm your identity through this URL",1
"Send the verification code to support to prevent suspension",1
"Your scholarship payment is waiting submit bank details immediately",1
"Final warning your mailbox is full verify credentials to continue",1
"Reset your password through this unfamiliar shortened link",1
"You have won a reward provide card details to claim it",1
"Remote login failed repeatedly and the source IP is unknown",1
"Account takeover suspected after many unauthorized login attempts",1
"Password spraying detected across administrator accounts",1
"New device accessed the admin portal from another country",1
"Multiple failed MFA challenges were recorded in seconds",1
"Impossible travel detected between Delhi and London within fifteen minutes",1
"Password spray failed authentication events targeted twelve student accounts",1
"New device and repeated MFA fatigue prompts preceded an unauthorized session",1
"Session hijack suspected after an impossible travel login and cookie reuse",1
"The registrar urgently requests an OTP and gift card transfer from a personal email",1
"From: principal@gmail.com please transfer funds immediately for the examination office",1
"Support desk identity asks for the employee verification code and password",1
"Voice clone of the finance director instructs staff to transfer money urgently",1
"Face swap video of the administrator announces a new payment account",1
"Synthetic lip sync recording claims to be the university principal",1
"Generated audio requests a one time password from the accounts team",1
"Open the shortened bit.ly link to verify the Microsoft account",1
"Visit http://192.168.1.44/login to claim the urgent scholarship refund",1
"The secure bput-ac-in.xyz portal asks for credentials immediately",1
"A punycode xn--university-9za.example domain redirects to a login page",1
"https://university.edu/results contains the official examination timetable",0
"The finance director confirmed the transfer through the approved internal channel",0
"Authentication activity is normal with no failed attempts or unusual locations",0
"The administrator announced the maintenance window in the verified portal",0
"The registrar shared the timetable without requesting credentials or payment",0
"Disable security controls and share the recovery token",1
"Executive requested an urgent wire transfer using a personal address",1
"Impersonated registrar asks students to upload identity documents",1
"Fake examination notice redirects users to a credential portal",1
"Caller claims to be the dean and demands a confidential transfer",1
"Fraudulent help desk message requests the employee sign in again",1
"Look alike BPUT domain requests admit card verification",1
"Suspicious audio message instructs finance staff to pay an invoice",1
"Deepfake voice asks for an emergency password reset",1
"Unknown sender attached a macro document and requests content enablement",1
"Verify your cloud storage account at this untrusted domain",1
"Security team needs your one time code within five minutes",1
"Your account has been compromised click here to secure it",1
"Unusual transaction requires immediate card confirmation",1
"Open the attached result sheet and enter your student credentials",1
"The registrar published the examination timetable on the official portal",0
"Please review the agenda before the department meeting tomorrow",0
"The service desk ticket is assigned to the infrastructure team",0
"Monthly backup completed and the checksum matched successfully",0
"Students may collect identity cards from the administration office",0
"The approved purchase order is available in the finance system",0
"Network maintenance will occur during the planned weekend window",0
"The library reminder shows one book due next Friday",0
"The security dashboard reports normal login activity today",0
"The project status report is ready for review by the team",0
"Your appointment with student affairs is confirmed for Monday",0
"The training workshop location has changed to room 204",0
"The payroll calendar is available in the internal employee portal",0
"The application deployment completed without errors",0
"The approved policy document is stored in the shared drive",0
"The monitoring service restarted successfully after maintenance",0
"The faculty meeting minutes are attached for information",0
"The help desk will contact you during normal business hours",0
"The campus network performance is within the expected range",0
"The official results announcement will be posted after approval",0
"The annual leave request was received by human resources",0
"The database backup report is available to system administrators",0
"The incident review meeting is scheduled for Thursday afternoon",0
"The new student orientation materials are ready to download",0
"The procurement team approved the vendor evaluation",0
"The service health report shows all components operational",0
"The exam cell published a routine notice on the known university site",0
"The account directory synchronization completed successfully",0
"The office calendar invitation was sent to all participants",0
"The weekly network report contains no unusual activity",0
